month,value,emotion
2022-5,2.526315789,Tired
2022-5,0.263157895,Sad
2022-5,0.105263158,Angry
2022-5,0.47368421,Excited
2022-6,1.35,Happy
2022-6,2.95,Anxiety
2022-6,3.75,Tired
2022-6,1.476190476,Sad
2022-6,0.95,Angry
2022-6,0.55,Excited
2022-7,1.322580645,Happy
2022-7,4.129032258,Anxiety
2022-7,4.903225806,Tired
2022-7,1.35483871,Sad
2022-7,0.451612903,Angry
2022-7,0.774193548,Excited
2022-8,1.096774194,Happy
2022-8,1.709677419,Anxiety
2022-8,1.806451613,Tired
2022-8,0.838709677,Sad
2022-8,0.258064516,Angry
2022-8,0.451612903,Excited
2022-9,1.266666667,Happy
2022-9,4.166666667,Anxiety
2022-9,4.566666667,Tired
2022-9,0.9,Sad
2022-9,0.466666667,Angry
2022-9,0.366666667,Excited
2022-10,0.677419355,Happy
2022-10,4.451612903,Anxiety
2022-10,5.032258065,Tired
2022-10,0.129032258,Sad
2022-10,0.193548387,Angry
2022-10,0.225806452,Excited
2022-11,1.4,Happy
2022-11,4.3,Anxiety
2022-11,4.8,Tired
2022-11,0.2,Sad
2022-11,0.4,Angry
2022-11,0.633333333,Excited
2022-12,4.75,Happy
2022-12,3.5,Anxiety
2022-12,3.4375,Tired
2022-12,0.4375,Sad
2022-12,0.53125,Angry
2022-12,3.21875,Excited
2023-1,4.75,Happy
2023-1,3.25,Anxiety
2023-1,2.125,Tired
2023-1,2.727272727,Sad
2023-1,0.625,Angry
2023-1,2.75,Excited
2023-2,1,Happy
2023-2,3.25,Anxiety
2023-2,4.5,Tired
2023-2,2.5,Sad
2023-2,1.583333333,Angry
2023-2,0.75,Excited
2023-3,0.709677419,Happy
2023-3,1.741935484,Anxiety
2023-3,3.032258065,Tired
2023-3,0.677419355,Sad
2023-3,1.677419355,Angry
2023-3,0.322580645,Excited
2023-4,0.68,Happy
2023-4,2.12,Anxiety
2023-4,2.47826087,Tired
2023-4,0.173913044,Sad
2023-4,0.52,Angry
2023-4,0.36,Excited
2023-5,0.8,Happy
2023-5,2.9,Anxiety
2023-5,4.5,Tired
2023-5,0.125,Sad
2023-5,0.5,Angry
2023-5,0.875,Excited
2023-6,2.846153846,Happy
2023-6,3.538461538,Anxiety
2023-6,3.538461538,Tired
2023-6,0.615384615,Sad
2023-6,0.153846154,Angry
2023-6,1.692307692,Excited
2023-7,2.764705882,Happy
2023-7,3,Anxiety
2023-7,3.058823529,Tired
2023-7,0.941176471,Sad
2023-7,0.117647059,Angry
2023-7,0.411764706,Excited
2023-8,2,Happy
2023-8,3.476190476,Anxiety
2023-8,2.952380952,Tired
2023-8,1.666666667,Sad
2023-8,1,Angry
2023-8,0.523809524,Excited
2023-9,1.033333333,Happy
2023-9,2.133333333,Anxiety
2023-9,2.033333333,Tired
2023-9,0.566666667,Sad
2023-9,0.166666667,Angry
2023-9,0.233333333,Excited
2023-10,0.5,Happy
2023-10,2.666666667,Anxiety
2023-10,2.666666667,Tired
2023-10,0,Sad
2023-10,0.166666667,Angry
2023-10,0.333333333,Excited
2023-11,1.25,Happy
2023-11,1.5,Anxiety
2023-11,1.875,Tired
2023-11,0,Sad
2023-11,0.625,Angry
2023-11,0.181818182,Excited
2023-12,3.421052632,Happy
2023-12,2.578947368,Anxiety
2023-12,1.894736842,Tired
2023-12,0.684210526,Sad
2023-12,0.421052632,Angry
2023-12,0.75,Excited
2024-1,1.451612903,Happy
2024-1,2.483870968,Anxiety
2024-1,2.677419355,Tired
2024-1,0.741935484,Sad
2024-1,0.419354839,Angry
2024-1,0.451612903,Excited
2024-2,0.862068966,Happy
2024-2,1.827586207,Anxiety
2024-2,2.965517241,Tired
2024-2,0.862068966,Sad
2024-2,0.137931034,Angry
2024-2,0.517241379,Excited
2024-3,1.870967742,Happy
2024-3,1.9,Anxiety
2024-3,3,Tired
2024-3,0.161290323,Sad
2024-3,0.225806452,Angry
2024-3,1.387096774,Excited
2024-4,1.133333333,Happy
2024-4,1.5,Anxiety
2024-4,2.8,Tired
2024-4,0,Sad
2024-4,0.566666667,Angry
2024-4,0.4,Excited
